OBJECTID,FACILITYID,INSTALLDATE,MATERIAL,DIAMETER,MAINSHAPE,LINEDYEAR,LINERTYPE,FROMMH,TOMH,WATERTYPE,ENABLED,ACTIVEFLAG,OWNEDBY,MAINTBY,SUMFLOW,LASTUPDATE,LASTEDITOR,DOWNELEV,UPELEV,SLOPE,SHAPE_Length,geometry,ResourceID
1307,2373-861,19660101,Reinforced Concrete,24",Circular,,,MH-2373,MH-861,Sewage,True,True,Our Agency,Our Agency,,20150518121938,Esri,674.68,676.3000000000001,0.330092899063293,490.77093284862804,"LINESTRING M (-88.18450027847678 41.76939552066618 0,-88.18412442513002 41.76945854761322 105.07062000000002,-88.18393331823776 41.769490594458034 158.49493,-88.1833355888404 41.76961727491097 327.95876000000004,-88.18278030594149 41.769781079503055 490.7709300000001)",b704ba78-e018-4117-9af4-637494658fc5
1308,1742-1556,19980101,Polyvinyl Chloride,8",Circular,,,MH-1742,MH-1556,Sewage,True,True,Private,Private,,20150518121938,Esri,666.1,678.22,7.70827398279028,157.2336430575698,"LINESTRING M (-88.14459652726518 41.7695358513844 0,-88.14467315590767 41.76948067143499 29.004440000000006,-88.14501193055303 41.76923671876907 157.23364000000004)",54a10944-1ae3-4fd5-aeec-ddeafbb345cc
1309,230-1087,19120101,Vitrified Clay,10",Circular,,,MH-230,MH-1087,Sewage,True,True,Our Agency,Our Agency,,20150518121938,Esri,681.6030000000001,684.795,0.854430018899005,373.58237999562886,"LINESTRING M (-88.14884914875788 41.7782661679724 0,-88.14900637603125 41.77826950768002 42.901810000000005,-88.15021826067937 41.77829523592685 373.58238000000006)",534b4e4b-a6c3-4fe8-9877-160f6968c1f8
1310,1263-1744,19920101,Polyvinyl Chloride,8",Circular,,,MH-1263,MH-1744,Sewage,True,True,Our Agency,Our Agency,,20150518121938,Esri,,0,-0,158.8764315230058,"LINESTRING M (-88.12834225632741 41.79369391829756 0,-88.12890946739631 41.79359428757231 158.87643000000003)",5b9f9392-d19f-4d68-adff-0ca8748b1042
1311,518-1153,19370101,Vitrified Clay,12",Circular,,,MH-518,MH-1153,Sewage,True,True,Our Agency,Our Agency,,20150518121938,Esri,669.13,671.4399999999999,1.1390897412859,202.79350399489428,"LINESTRING M (-88.14781008982813 41.77289884165139 0,-88.14781608235225 41.77274801241012 54.98503000000001,-88.14781727540718 41.77271798358799 65.93209000000002,-88.14782146537108 41.77261251808469 104.37970000000001,-88.14782497185291 41.77252427454381 136.54902,-88.14782580575724 41.772503263188995 144.20873000000003,-88.1478313226144 41.77242816821069 171.61397000000002,-88.1478321897528 41.772342604391206 202.79350000000002)",34df635c-324f-4e0f-baff-5ed50969ab5f
1312,1153-802,19370101,Vitrified Clay,12",Circular,,,MH-1153,MH-802,Sewage,True,True,Our Agency,Our Agency,,20150518121938,Esri,666.5600000000001,669.13,1.31447462312606,195.51537586082296,"LINESTRING M (-88.1478321897528 41.772342604391206 0,-88.14783532424305 41.772272420652776 25.588570000000004,-88.14783696238548 41.77223568033062 38.98384000000001,-88.14784139028914 41.77213652405471 75.13562000000002,-88.1478419392835 41.77212422776512 79.61877000000001,-88.14784523827893 41.77205037260352 106.54592000000001,-88.14784543108456 41.77204607007366 108.11461000000001,-88.14785431901842 41.77184701926576 180.68731000000002,-88.14785613323325 41.77180634913434 195.51538000000002)",876fc74b-c237-4b50-9fca-6d454df3d060
1313,1293-1743,19460101,Unknown,8",Circular,,,MH-1293,MH-1743,Sewage,True,True,Our Agency,Our Agency,,20150518121938,Esri,0,0,-0,317.2358339361378,"LINESTRING M (-88.14115757435178 41.78739280286867 0,-88.14115862594385 41.78737704199214 5.750280000000001,-88.14115913342879 41.78736945188992 8.51951,-88.1411637236574 41.7873007340441 33.59098,-88.14116963513003 41.78721216272596 65.90585000000002,-88.14118085458405 41.787044128037024 127.21264000000002,-88.14118218319344 41.78702422595767 134.47384000000002,-88.14119057402874 41.78689858637709 180.31297000000004,-88.14119137244431 41.7868866282044 184.67587000000003,-88.14119926842936 41.786768367159425 227.82294000000005,-88.14120079976453 41.786745432998735 236.19038000000003,-88.14120853827718 41.78662953693783 278.47461000000004,-88.14120927875925 41.786618445716186 282.52119000000005,-88.14121563440025 41.78652329708288 317.23583)",9db99b3a-055a-4366-bf53-9d4f4a74cd6d
1314,1158-1156,19580101,Vitrified Clay,10",Circular,,,MH-1158,MH-1156,Sewage,True,True,Our Agency,Our Agency,,20150518121938,Esri,676.633,676.748,0.271239740415036,42.39791699551192,"LINESTRING M (-88.16361159502677 41.76930556725479 0,-88.16356178028029 41.769415782048334 42.397920000000006)",a9f4ad4e-11ed-4b76-be09-135f078b4206
1315,1458-872,19580101,Vitrified Clay,10",Circular,,,MH-1458,MH-872,Sewage,True,True,Our Agency,Our Agency,,20150518121938,Esri,,678.0319999999999,,103.63432522568688,"LINESTRING M (-88.16108999671005 41.76912613454857 0,-88.1613386716173 41.769111254001984 68.05333000000002,-88.1614690350668 41.76910809252146 103.63433000000002)",7c077c1b-9747-48aa-aa76-69eee0d48457
1316,1459-7,19580101,Vitrified Clay,10",Circular,,,MH-1459,MH-7,Sewage,True,True,Our Agency,Our Agency,,20150518121938,Esri,686.01,688.897,5.15587100793656,55.99441870357168,"LINESTRING M (-88.16267386866758 41.76896620193697 0,-88.16278940794868 41.7690932124029 55.994420000000005)",8583e62f-f02f-42eb-82e5-80a6b5e5711e
