OBJECTID,FACILITYID,INSTALLDATE,MATERIAL,LINETYPE,LOCDESC,DIAMETER,DISTANCE,WATERTYPE,ENABLED,ACTIVEFLAG,OWNEDBY,MAINTBY,LASTUPDATE,LASTEDITOR,SHAPE_Length,geometry
87,59209,000000,Vitrified Clay,,116 S Charles Av ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,64.8423178778169,"LINESTRING (-88.12856390248211 41.77269484005885,-88.12877057860976 41.77268968719635,-88.12880148085503 41.772688915678984)"
88,59210,000000,Vitrified Clay,,621 E Benton Av ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,63.458351023125374,"LINESTRING (-88.13865366703249 41.77503494623295,-88.138657393168 41.77494827272089,-88.1386611479078 41.77486088706807)"
89,59212,000000,Vitrified Clay,,331 N Wright St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,69.03929677367967,"LINESTRING (-88.13940070381963 41.77915067094144,-88.13926946331914 41.77913721039165,-88.13914992556613 41.77912494984847)"
90,59213,000000,Vitrified Clay,,729 E Benton Av ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,64.09409542123231,"LINESTRING (-88.1369362109423 41.77503396888473,-88.13679229572433 41.77503357152045,-88.13670123674477 41.77503331937241)"
91,59215,000000,Vitrified Clay,,615 E Benton Av ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,65.74718793469765,"LINESTRING (-88.13888604384537 41.77504694004353,-88.13889023055775 41.77495342363803,-88.13889411916679 41.774866610835495)"
92,59217,000000,Vitrified Clay,,154 N Loomis St Up,6",,Sewage,True,True,Private,Private,20100421101513,Esri,64.77060388969645,"LINESTRING (-88.14189110356234 41.77732830407872,-88.14205106838078 41.77733321369396,-88.14212836872527 41.777335585172644)"
93,59218,000000,Vitrified Clay,,108 Center St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,63.29754106541914,"LINESTRING (-88.14606561032848 41.77614966024436,-88.1462262925302 41.77615432661907,-88.1462974954341 41.776156396345556)"
94,59220,000000,Vitrified Clay,,918 Oakleaf Ct ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,69.90254106246093,"LINESTRING (-88.1330041566253 41.774357032021285,-88.1331923443904 41.77431222926077,-88.13324837035788 41.7742988907146)"
95,59222,000000,Vitrified Clay,,123 N Julian St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,66.00338747848717,"LINESTRING (-88.13686151510859 41.77645241008973,-88.1367098556865 41.77644758129323,-88.13661975292943 41.776444712459)"
96,59223,000000,Vitrified Clay,,133 N Julian St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,66.69787027801479,"LINESTRING (-88.13685664340002 41.776582953575996,-88.13670443764265 41.7765781076315,-88.13661233701863 41.77657517324705)"
97,59227,000000,Vitrified Clay,,957 Monticello Dr ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,66.00452069865781,"LINESTRING (-88.1340952619748 41.781756990491026,-88.1342401133722 41.78186519419154,-88.1342665574111 41.781884944452486)"
98,59228,000000,Vitrified Clay,,610 N Ellsworth St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,69.20168782058408,"LINESTRING (-88.1443002834724 41.78222059686356,-88.14446746375404 41.78222632711447,-88.14455374698501 41.782229285259675)"
99,59233,000000,Vitrified Clay,,507 E 8th Av ,6",,Sewage,True,False,Private,Private,20100421101513,Esri,86.07788312606091,"LINESTRING (-88.13975762160725 41.78406897698812,-88.13978254030461 41.783933587357836,-88.13980566004153 41.78383554712483)"
100,59234,000000,Vitrified Clay,,1008 Mattande Ln ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,56.02152741841292,"LINESTRING (-88.13296576017697 41.77836028492804,-88.13315910823903 41.778353664859644,-88.13317093715669 41.77835326049745)"
101,59235,000000,Vitrified Clay,,1063 Mattande Ln ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,55.12629789291378,"LINESTRING (-88.13044476372113 41.77950139086051,-88.13044120272671 41.77936110980576,-88.13044092577653 41.779350134791045)"
