WKT,objectid,facilityid,installdate,locdesc,rotation,diameter,valvetype,enabled,activeflag,ownedby,maintby,lastupdate,lasteditor,globalid,comments,doc_name,status,ResourceID
POINT (-122.388637649158 37.7901726990904),304,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{663F19F5-C473-4692-AED0-94331196B291},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,663F19F5-C473-4692-AED0-94331196B291
POINT (-122.393247464993 37.7949803624554),305,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{3FCDBAFC-0031-4423-BBEE-8D72E84E34E0},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,3FCDBAFC-0031-4423-BBEE-8D72E84E34E0
POINT (-122.393479366218 37.7942787895185),306,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{0FA4EC60-3566-46C1-8646-0F8D6D7AC293},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,0FA4EC60-3566-46C1-8646-0F8D6D7AC293
POINT (-122.397847144827 37.7953120035643),307,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{75812685-17DF-463B-B656-0B53BBE7BBF0},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,75812685-17DF-463B-B656-0B53BBE7BBF0
POINT (-122.390266059023 37.7907026219256),308,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{40AAC363-4DA8-4B30-BCC9-14529CDF0AC2},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,40AAC363-4DA8-4B30-BCC9-14529CDF0AC2
POINT (-122.398106976566 37.7956739225652),309,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{835D8ECC-5E6B-4F4B-B39C-960D48769D4D},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,835D8ECC-5E6B-4F4B-B39C-960D48769D4D
POINT (-122.390140698386 37.7908048694154),310,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{1FE26429-E124-4F7E-A482-5A2F863BE05E},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,1FE26429-E124-4F7E-A482-5A2F863BE05E
POINT (-122.389276577167 37.7888885457589),311,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{09B28E6B-92E1-4C36-8551-BF80ADC74C6F},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,09B28E6B-92E1-4C36-8551-BF80ADC74C6F
POINT (-122.396826680349 37.7954434867568),312,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{F176AAA9-7738-4A48-A939-2CBE12FC2196},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,F176AAA9-7738-4A48-A939-2CBE12FC2196
POINT (-122.389564194687 37.7887951163738),313,,,,,0,VALVE,1,,0,,2011-02-03T00:00:00.000,JS,{07574BBC-5034-4D93-B002-0387E9B392B1},E-UTIL14$0$U-W-SFWD-WV; ; ,Mid Embarcadero Renovation,UNK,07574BBC-5034-4D93-B002-0387E9B392B1
