OBJECTID,FACILITYID,INSTALLDATE,FITTINGTYPE,LOCDESC,ROTATION,ENABLED,ACTIVEFLAG,OWNEDBY,MAINTBY,LASTUPDATE,LASTEDITOR,GlobalID,geometry,ResourceID
23635,WFIT-23635,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{38CA25AF-CC87-4F7E-BE7B-000F2066C9E5},POINT (-88.17310339011176 41.77268964050008),35aa51ce-de1b-4557-89b9-df3b8db9e478
23636,WFIT-23636,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{C72CB6D1-8DF7-4A68-BBFF-97A1FB42E312},POINT (-88.18216153445043 41.772409978311984),6d36261e-fa86-4cf7-985f-039649fd1e48
23637,WFIT-23637,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{CC26DE66-CD7B-4A52-B344-0DB42A387FC2},POINT (-88.17145338322565 41.77318521729032),13f2de13-4c5c-469e-9950-96c1de9c7e59
23638,WFIT-23638,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{359854DC-73B9-4D10-8CE9-B30DE0B5F5A7},POINT (-88.17884319321271 41.773912611119755),c5de590a-23e6-496e-b976-20e44e2df24d
23639,WFIT-23639,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{F650E2AB-4DC3-46D4-85B1-C0B81C8B87C3},POINT (-88.1723158499886 41.77480753763599),0787c142-85a2-469d-9b70-152c41997b8b
23640,WFIT-23640,000000,Tap,,,True,True,Our Agency,Our Agency,20170111110441,Esri,{88A67F52-4E2D-48A3-8E1A-08F0870786F3},POINT (-88.16937573059585 41.774387618373275),c31dab63-25f9-4fee-8f35-f4c5ec34dd3d
23641,WFIT-23641,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{E8265C02-9A87-4F33-A352-F55A44B8F267},POINT (-88.18103417827159 41.77544178677855),e2f73785-6f6f-4418-ac9d-aee17f3b5729
23642,WFIT-23642,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{7E45D043-7CFB-4CCD-A1C5-2F08FD4D7C73},POINT (-88.1808917871455 41.77714750471221),0b202d8a-d129-4f15-bce4-d879df7f2ea0
23643,WFIT-23643,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{366B4CD2-6244-46FD-8882-8F5403DF2370},POINT (-88.17994647550417 41.77820672362438),9abd3a42-15fb-46ac-aca1-cb288f505cbf
23644,WFIT-23644,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{FCFF01D7-C687-451D-8E74-F59C65303032},POINT (-88.17825279098476 41.77971060035823),0aadad77-92a4-4943-88c1-4cc06b232cb3
23645,WFIT-23645,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{493169C6-D468-4A1F-849E-9A0F8A36EF61},POINT (-88.18118304227704 41.773771165725684),ecd7c32b-0857-4685-b502-4c7e5546b38e
23646,WFIT-23646,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{EC77A196-127E-47C8-9DE4-32B5AFD78285},POINT (-88.18190057452652 41.77359820025226),22636e6f-a671-457e-a858-12eeb3edc4b2
23647,WFIT-23647,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{5910E83B-1EB3-4BEB-BB67-9CD127F4048F},POINT (-88.17648281306793 41.77498971213283),b44acc52-8f50-4e28-8548-fc27917ba2ba
23648,WFIT-23648,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{113C5B41-532F-4EFD-B888-98A9FFCE37DB},POINT (-88.17892851488682 41.77619262852163),147a4841-5b76-4604-9ce7-c055ced175d4
23649,WFIT-23649,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{AB0043C8-C4A9-4FC6-A80B-60BF23766302},POINT (-88.17365877039046 41.77083391607483),3ec80cd4-e6eb-414e-a29c-314721c786c7
23650,WFIT-23650,000000,Tap,,355.4535,True,True,Our Agency,Our Agency,20170111111125,Esri,{691474EA-6E0D-4418-8AED-59B81EEDACA0},POINT (-88.17519186089994 41.771394107706676),88a1e23f-8c46-42d7-93aa-03c38f5174be
23651,WFIT-23651,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{3C3BB458-1494-460D-A561-B7F008D02766},POINT (-88.1821630145348 41.77224677839369),d5770b32-6e06-43ae-8794-f4a3e19a9b36
23652,WFIT-23652,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{BD0F460A-57E8-43BA-998B-CB307AAAE765},POINT (-88.18217881769827 41.77534805431017),05c3d49d-be59-4848-9bf5-6df3014d86b1
23653,WFIT-23653,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{9EC404A2-3999-4DE4-AFCB-CF5498ACF4A7},POINT (-88.1693171506614 41.77573775210257),585ae91d-9637-466e-94d6-d3e85713a0d6
23654,WFIT-23654,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{A9D35052-0DC0-44D5-9FA5-CA334D6C57CD},POINT (-88.1722343993182 41.76998014123929),f51bede7-5386-4c0f-9f06-97a3acb27eb8
23655,WFIT-23655,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{FC3C7767-1DDA-4BF2-8DAE-C735906BDB54},POINT (-88.17806540596696 41.77152804956786),2be40d43-5d0d-41cf-b5f8-9f1f9f45d879
23656,WFIT-23656,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{E935B002-82C3-4708-97E6-A7F11ABC4BE5},POINT (-88.17379988510847 41.771768680653615),9fa04667-e0e9-431f-9502-8441289ed281
23657,WFIT-23657,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{D1D3246D-C67D-4B86-ACBE-1092270EA3FB},POINT (-88.16998878197248 41.77235841691797),eda5abc3-e8f3-4180-b846-8b40873f9460
23658,WFIT-23658,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{9AEBBE48-41C1-48CE-8F63-77A8E1F4B1DC},POINT (-88.17785068016782 41.77262800729577),a8c31a7b-ad53-4752-9d85-a355430e298b
23659,WFIT-23659,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{D9F58034-7772-45E8-9D44-F38859F31683},POINT (-88.18197620906854 41.773863275317325),70042d5e-d05c-41bb-8001-f31dc658d915
23660,WFIT-23660,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{7B24DA3C-80B9-4718-A636-27786FAFD83C},POINT (-88.17153324992442 41.7739102823651),e420bde3-0a35-4200-be54-658c48976a25
23661,WFIT-23661,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{9D9ABCE1-F020-44FA-BCA2-D3E4C9A10CE4},POINT (-88.17159838657776 41.774363449018225),1b4fd129-9c30-4774-ae71-d2c642e468a8
23662,WFIT-23662,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{ECFEB1EE-6B17-421A-B24B-DFE4DF68BD9F},POINT (-88.1729183167689 41.77473946293869),878c5be3-9030-4e50-93e6-4894f58f8d46
23664,WFIT-23664,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{6BBDBE22-D372-405E-9AC7-3D0B8A32F6E0},POINT (-88.17745083676671 41.77611013428401),d3e0e022-9ea3-4115-a8b6-b838aee71c3c
23665,WFIT-23665,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{E294EC4A-E6FE-43EE-AA6C-6DAB28A4AF16},POINT (-88.18135136321827 41.77703006419337),b417a212-072b-44ae-81fa-9da53793271a
23666,WFIT-23666,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{9BE9C473-5FA9-4576-BE6A-AEA724E70590},POINT (-88.17685761299873 41.77701291945834),7d324b1d-ff9b-423e-a58f-9ea0fdcf1c0e
23667,WFIT-23667,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{8D1E684C-D67F-4442-A249-F3D72D6ACEAC},POINT (-88.17969627933294 41.77722980361822),a0fee151-0b1f-45ef-ac24-195d880ec388
23668,WFIT-23668,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{1B810AFE-085A-44BB-9EEE-CA63C2783F69},POINT (-88.18101047505769 41.77518390190921),24320c5e-be77-4e0b-8ae3-32ce75255fb8
23669,WFIT-23669,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{17A8FD41-E34B-4C5D-A1B0-A3C9C3DF5C35},POINT (-88.17592227974752 41.77503011826261),c5fc233c-4e7c-4f9a-aa0e-2c3a9cf1523f
23671,WFIT-23671,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{C675D0F6-A7A9-48DE-B872-57397C693AEC},POINT (-88.17152400258121 41.775870121419764),b5ea6454-32a7-4fbf-b22e-24ea05f504a5
23672,WFIT-23672,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{E7E04521-935C-488E-B7E1-A443AF0FEDBF},POINT (-88.17409347922501 41.77736803172457),5d47670e-2a8a-437f-ae3c-e2f8c86f6165
23673,WFIT-23673,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{885D2574-6D35-4F36-BC8C-70A614FA71AF},POINT (-88.17119959799935 41.77772317714078),0eacca66-5f57-4416-b919-979a47258c32
23674,WFIT-23674,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{EAD31B46-EE14-43C0-86B5-BBE674752BF8},POINT (-88.17967564282172 41.771468011807755),5eabf249-5a76-418d-a196-12a6193ff331
23675,WFIT-23675,000000,Tap,,,True,True,Our Agency,Our Agency,20170111105823,Esri,{B15C9D8B-F2F8-42C4-A664-102455964E83},POINT (-88.1687761562308 41.772503693493405),a26140d5-b3c8-4409-b242-b798e5efaf02
23676,WFIT-23676,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{A34957C9-26DC-461D-82A2-D3CC3B2C6A81},POINT (-88.17825583304572 41.77232377160907),a77200f4-5068-4185-93ca-3e05be6ce6bb
23677,WFIT-23677,000000,Cross,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{D62A802F-53B0-48D1-AADC-EF20AB4D9791},POINT (-88.17894032395256 41.7764083499582),bc855eba-6bcc-4bf3-bc9f-9b9cd27cf996
23678,WFIT-23678,000000,Tee,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{637FC520-941E-406C-8619-7A9652D08763},POINT (-88.17940962573616 41.775347564064575),be671816-9a0a-48b5-bc47-3d94b3153ac1
23679,WFIT-23679,000000,Reducing Tee,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{606E4F9D-8A53-40CF-A65D-3C016014D8B3},POINT (-88.17413799868193 41.777345614942256),5b23cf9e-fb4a-4862-bf0a-703eae01338a
23680,WFIT-23680,000000,Reducing Tee,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{90A54A10-A7CC-4B83-9BA9-ECE95CDF7318},POINT (-88.17066828210224 41.776240416674625),23fc6803-5790-4509-9dd7-5e92f24f2bbb
23681,WFIT-23681,000000,Reducing Cross,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{057B93D8-307F-4E95-91AD-52BA6DFCFE52},POINT (-88.17018376249659 41.775517376733326),823933a0-9fdb-4a95-bae9-84ead620a944
23682,WFIT-23682,000000,Reducing Tee,,,True,True,Our Agency,Our Agency,20100420110243,Esri,{D2D9EDCB-5063-4BF7-BEC0-25000A2597D0},POINT (-88.18295637841999 41.78165604182449),cd7aa6ed-3f61-410f-9ee8-3f90c5b8c375
