WKT,objectid,facilityid,accountid,metservice,servicetype,installdate,locdesc,rotation,locationid,critical,enabled,activeflag,ownedby,maintby,lastupdate,lasteditor,globalid,comments,doc_name,status,ResourceID
POINT (-122.400906498039 37.80509112893),12,,,,HOSEBIB,1967-07-01T00:00:00.000,,,,,1,,1,,2010-11-17T00:00:00.000,JS,{B45630AD-250C-45C4-9286-B1D532E18EF6}, Thru deck to SWSC,7428-27-1,ACT,B45630AD-250C-45C4-9286-B1D532E18EF6
POINT (-122.400737969831 37.8050750982567),13,,,,SWSC,1967-07-01T00:00:00.000,,,,,1,,1,,2010-11-17T00:00:00.000,JS,{67F247B8-6BF5-4B19-9A9F-B31E18431DB4}, Ship Water Service Connection,7428-27-1,ACT,67F247B8-6BF5-4B19-9A9F-B31E18431DB4
POINT (-122.401034284578 37.8042788851318),14,,,,HOSEBIB,1967-07-01T00:00:00.000,,,,,1,,1,,2010-11-17T00:00:00.000,JS,{75FABC4A-AFB7-4AF6-B78B-1D7BB60CC2A1}, Thru deck to SWSC,7428-27-1,ACT,75FABC4A-AFB7-4AF6-B78B-1D7BB60CC2A1
POINT (-122.400860672643 37.8042630159145),15,,,,SWSC,1967-07-01T00:00:00.000,,,,,1,,1,,2010-11-17T00:00:00.000,JS,{130EC274-6988-4369-AD41-4C9A2B67F174}, Ship Water Service Connection,7428-27-1,ACT,130EC274-6988-4369-AD41-4C9A2B67F174
POINT (-122.401816307775 37.8068797443916),16,,,,SWSC,1967-07-01T00:00:00.000,,,,,1,,1,,2010-11-17T00:00:00.000,JS,{DECA3F38-1894-4937-8FA1-D7FD12DD5F3A}, Ship Water Service Connection,7428-27-1,ACT,DECA3F38-1894-4937-8FA1-D7FD12DD5F3A
POINT (-122.402492664041 37.8062923009729),17,,,,SWSC,1967-07-01T00:00:00.000,,,,,1,,1,,2010-11-17T00:00:00.000,JS,{87D95787-F5EF-4394-AB37-7CC634565D94}, Ship Water Service Connection,7428-27-1,ACT,87D95787-F5EF-4394-AB37-7CC634565D94
POINT (-122.398754798772 37.8039521022932),18,,,,SWSC,,,,,,1,,1,,,,{1F749331-C059-4E88-8BEC-FB4F997E2C9D}, ,,ACT,1F749331-C059-4E88-8BEC-FB4F997E2C9D
POINT (-122.399049791786 37.8042600141262),19,,,,SWSC,,,,,,1,,1,,,,{1A2C4A99-6397-4880-A2B3-9FB3963FE542}, ,,ACT,1A2C4A99-6397-4880-A2B3-9FB3963FE542
POINT (-122.399656895467 37.8038991833108),20,,,,SWSC,,,,,,1,,1,,,,{7950434B-CCA0-46EE-ABCA-879206ADD45E}, ,,ACT,7950434B-CCA0-46EE-ABCA-879206ADD45E
POINT (-122.399367931125 37.8035891733773),21,,,,SWSC,,,,,,1,,1,,,,{3F05AA44-625A-4F91-BB9D-5F815C53801A}, ,,ACT,3F05AA44-625A-4F91-BB9D-5F815C53801A
POINT (-122.397209956769 37.8001134215234),22,,,,SWSC,,,,,,1,,1,,2010-11-17T00:00:00.000,JS,{1CC28146-29F5-4313-9A14-1A44E732516F}, ,,ACT,1CC28146-29F5-4313-9A14-1A44E732516F
POINT (-122.387803244762 37.7889107841478),23,,,,METER,,,,,,1,,1,,,,{7227DCAC-5196-4497-AFC8-45D7C7CA9C34},"""12"" Det. ck. & Byp Meter"" ",97800001.tif,UNK,7227DCAC-5196-4497-AFC8-45D7C7CA9C34
POINT (-122.397385402587 37.8000561802142),24,,,,SWSC,,,,,,1,,1,,2010-11-17T00:00:00.000,JS,{36F2E2B4-BFDE-4FB3-9E9D-2507D59E62B2}, ,,UNK,36F2E2B4-BFDE-4FB3-9E9D-2507D59E62B2
POINT (-122.397114293603 37.8007103675235),25,,,,SWSC,,,,,,1,,1,,2010-11-17T00:00:00.000,JS,{C6C88EF2-C97F-489A-BB20-89A8A2FE3311}, ,,UNK,C6C88EF2-C97F-489A-BB20-89A8A2FE3311
POINT (-122.396814799509 37.8003762432538),26,,,,SWSC,,,,,,1,,1,,2010-11-17T00:00:00.000,JS,{D02D8882-9715-4CB5-88B0-923949B25F86}, ,,UNK,D02D8882-9715-4CB5-88B0-923949B25F86
POINT (-122.396269895342 37.8006852316066),27,,,,SWSC,,,,,,1,,1,,2010-11-17T00:00:00.000,JS,{C3941FFB-E0E1-48CE-8926-DD683BBEBFE5}, ,,UNK,C3941FFB-E0E1-48CE-8926-DD683BBEBFE5
POINT (-122.396566491792 37.8010160594376),28,,,,SWSC,,,,,,1,,1,,2010-11-17T00:00:00.000,JS,{1F6E0A22-5E97-4E96-BE4A-523A7B7838DD}, ,,UNK,1F6E0A22-5E97-4E96-BE4A-523A7B7838DD
POINT (-122.417056072893 37.8085433124381),29,,,,HOSEBIB,,,,,,1,,1,,,,{195B5027-5135-4FD1-9225-2731E7637426},".75"" DIA PIPE FISHERMAN'S WHARF HOSE BIBBS",,ACT,195B5027-5135-4FD1-9225-2731E7637426
POINT (-122.417038156814 37.8084920859091),30,,,,HOSEBIB,,,,,,1,,1,,,,{63CCFCE7-05EB-46AD-947A-3074352C9208},".75"" DIA PIPE FISHERMAN'S WHARF HOSE BIBBS",,ACT,63CCFCE7-05EB-46AD-947A-3074352C9208
POINT (-122.416999046774 37.8085407471628),31,,,,HOSEBIB,,,,,,1,,1,,,,{F72784C5-8B29-45C1-BCF6-EFD6F672F66C},".75"" DIA PIPE FISHERMAN'S WHARF HOSE BIBBS",,ACT,F72784C5-8B29-45C1-BCF6-EFD6F672F66C
