WKT,objectid,facilityid,installdate,material,diameter,watertype,transmiss,enabled,activeflag,ownedby,maintby,lastupdate,lasteditor,globalid,comments,doc_name,status,shape_Length,ResourceID
"MULTILINESTRING M ((-122.384177856922 37.7744928382851 0,-122.384177094416 37.7744846215193 0,-122.384166742642 37.7744852258618 0))",2199,,,GP,2,DW,,1,,1,,2014-11-06T14:53:39.000,JAH,{CCC0D9C7-05CF-455A-8A97-70298ABD259A},Ship Water Service and HB;,Field Visit,ACT,5.999990926,CCC0D9C7-05CF-455A-8A97-70298ABD259A
"MULTILINESTRING M ((-122.384166742642 37.7744852258618 0,-122.384167505146 37.7744934426276 0,-122.384168266517 37.7745016594115 0))",2200,,,GP,2,DW,,1,,12,,2014-11-06T14:53:39.000,JAH,{C4E6EBC7-BC24-49A4-B3C5-A11C5C7DDC95},Ship Water Service;,Field Visit,ACT,5.999990925,C4E6EBC7-BC24-49A4-B3C5-A11C5C7DDC95
"MULTILINESTRING M ((-122.384166742642 37.7744852258618 0,-122.384156390867 37.7744858302033 0))",2201,,,CPR,0.75,DW,,1,,1,,2014-11-06T14:53:39.000,JAH,{A0DE0922-3F63-4541-BE15-67C07666EC1C},3/4 in Hosebbib on top of deck;,Field Visit,ACT,2.999986725,A0DE0922-3F63-4541-BE15-67C07666EC1C
"MULTILINESTRING M ((-122.383735478752 37.7745186730322 0,-122.383734716295 37.7745104562636 0,-122.383724364513 37.7745110605672 0))",2202,,,GP,2,DW,,1,,1,,2014-11-06T14:53:39.000,JAH,{511D5C3E-B9F2-4CCE-836B-3A5A0F5E59BE},Ship Water Service and HB;,Field Visit,ACT,5.999990925,511D5C3E-B9F2-4CCE-836B-3A5A0F5E59BE
"MULTILINESTRING M ((-122.383724364513 37.7745110605672 0,-122.383725125835 37.774519277354 0,-122.383725888291 37.7745274941226 0))",2203,,,GP,2,DW,,1,,12,,2014-11-06T14:53:39.000,JAH,{3349E971-B6E3-464E-8E21-0DCC6BA4D893},Ship Water Service;,Field Visit,ACT,5.999990925,3349E971-B6E3-464E-8E21-0DCC6BA4D893
"MULTILINESTRING M ((-122.383724364513 37.7745110605672 0,-122.383714012732 37.7745116648699 0))",2204,,,CPR,0.75,DW,,1,,1,,2014-11-06T14:53:39.000,JAH,{9518E9D4-9673-4452-B0F2-490EDEBDA79D},3/4 in Hosebbib on top of deck;,Field Visit,ACT,2.99998671,9518E9D4-9673-4452-B0F2-490EDEBDA79D
"MULTILINESTRING M ((-122.383378806579 37.7745395004964 0,-122.383378045296 37.7745312837074 0,-122.383367693532 37.7745318888806 0))",2205,,,GP,0.75,DW,,1,,1,,2014-11-06T14:53:39.000,JAH,{8E2B99B7-01C4-406D-8F50-BFF5D1BDDC39},,Field Visit,ACT,5.999990941,8E2B99B7-01C4-406D-8F50-BFF5D1BDDC39
"MULTILINESTRING M ((-122.383352382343 37.7744529234154 0,-122.383617915245 37.7744374176072 0))",2206,,2011-07-01T00:00:00.000,CPR,1.5,DW,,1,,12,,2014-11-06T16:43:49.000,JAH,{AB05356A-D1A6-4A37-82E5-58660CECC565},Overhead under Shed roof;,Field Visit,ACT,76.95267142,AB05356A-D1A6-4A37-82E5-58660CECC565
"MULTILINESTRING M ((-122.383617915245 37.7744374176072 0,-122.383859561667 37.7744244477116 0,-122.383859203408 37.7744205737258 0))",2207,,2011-07-01T00:00:00.000,CPR,0.75,DW,,1,,12,,2011-02-07T00:00:00.000,JAH,{50D909EE-5375-4A43-B742-E8C2B30A7BB8},Overhead under Shed roof;,,ACT,71.41540981,50D909EE-5375-4A43-B742-E8C2B30A7BB8
"MULTILINESTRING M ((-122.383580332957 37.7740320561597 0,-122.38356309181 37.7740330625214 0))",2208,,2011-07-01T00:00:00.000,CPR,0.5,DW,,1,,12,,2014-11-06T16:47:19.000,JAH,{F30D54AA-2794-408F-987F-71D82F342B4C},Ice Machine,Field Visit,ACT,4.996580824,F30D54AA-2794-408F-987F-71D82F342B4C
